library,real_time_solo_len,real_time_solo_median,real_time_solo_average,real_time_solo_std,real_time_solo_max,real_time_full_median,real_time_full_average,real_time_full_std,real_time_full_max,real_time_constant_median,real_time_constant_average,real_time_constant_std,real_time_constant_max
pyswarm,4.0,1.593,1.5899999999999999,0.008164965809277214,1.5959999999999999,3.9585,3.9137499999999994,0.12935577554429756,4.011,0.784,0.7845,0.013916417163432039,0.7979999999999999
pyswarms,4.0,1.2320000000000002,1.23325,0.04170031974297883,1.2790000000000001,10.6475,10.63325,0.0747590574222732,10.708,0.9184999999999999,0.91425,0.06466000824827244,0.987
pyswip,4.0,0.8815,0.8955,0.035312887166019206,0.9470000000000001,0.9325,0.926,0.04192851058647321,0.97,0.7909999999999999,0.7817500000000001,0.024797513316190952,0.799
pytables,1.0,0.8170000000000001,0.8170000000000001,,0.8170000000000001,0.8340000000000001,0.8340000000000001,,0.8340000000000001,0.705,0.705,,0.705
pytablewriter,1.0,1.3419999999999999,1.3419999999999999,,1.3419999999999999,3.109,3.109,,3.109,0.9470000000000001,0.9470000000000001,,0.9470000000000001
pytagcloud,1.0,1.7080000000000002,1.7080000000000002,,1.7080000000000002,1.705,1.705,,1.705,0.7909999999999999,0.7909999999999999,,0.7909999999999999
pyteaser,7.0,4.609,4.647714285714286,0.1039418335508124,4.82,4.7860000000000005,4.776285714285714,0.10013276900481397,4.902,4.628,4.634714285714286,0.1161890905459923,4.7989999999999995
pytelegrambotapi,7.0,1.746,1.7505714285714287,0.06002182142870237,1.8619999999999999,2.668,2.6647142857142856,0.08279233919011722,2.77,0.775,0.7828571428571429,0.03768035992144347,0.84
pytess,4.0,1.5665,1.5647499999999999,0.04129063654954562,1.604,1.5715,1.573,0.07293375990125099,1.646,0.762,0.75925,0.04284370821174716,0.8029999999999999
pytesseract,4.0,1.5924999999999998,1.60275,0.025578311124857315,1.64,2.4625,2.4705,0.11297344820797488,2.589,0.7889999999999999,0.7899999999999999,0.007071067811865545,0.799
pytest,4.0,1.3844999999999998,1.3704999999999998,0.05373081052803877,1.4180000000000001,2.507,2.545,0.1033182784732047,2.693,0.887,0.8735,0.04293793971147976,0.909
pytest-arraydiff,4.0,1.046,1.07525,0.06819762947981894,1.177,4.763,4.78275,0.1044234169140234,4.922,0.8674999999999999,0.88575,0.05333151038551225,0.9640000000000001
pytest-astropy,4.0,1.181,1.1632500000000001,0.05282912706705152,1.205,7.265499999999999,7.321999999999999,0.16926310879810777,7.563,0.9655,0.9512499999999999,0.04011961282631391,0.981
pytest-astropy-header,4.0,1.0485,1.046,0.022464787260658967,1.07,2.582,2.5669999999999997,0.14548768561863465,2.728,0.899,0.8847499999999999,0.05976272528368612,0.94
pytest-benchmark,4.0,1.0215,1.03575,0.09681382477036359,1.161,3.565,3.5635,0.10215837377980018,3.665,0.9265,0.92775,0.021437894797142126,0.953
pytest-cache,1.0,1.7890000000000001,1.7890000000000001,,1.7890000000000001,3.412,3.412,,3.412,0.94,0.94,,0.94
pytest-console-scripts,7.0,2.659,2.6671428571428573,0.06019531701450046,2.766,4.238,4.199142857142857,0.1697708539683502,4.414,0.867,0.8787142857142857,0.059390555606410114,0.9490000000000001
pytest-cov,4.0,1.0265,1.04375,0.059589568438332075,1.126,3.1254999999999997,3.1337499999999996,0.1143718351110388,3.2769999999999997,0.923,0.91875,0.020613506898794966,0.938
pytest-django,7.0,1.115,1.0985714285714285,0.05586250126533043,1.158,2.677,2.678857142857143,0.12253085131430987,2.832,0.887,0.8747142857142857,0.05084195867494444,0.9309999999999999
pytest-doctestplus,4.0,1.039,1.0285,0.039501054838236085,1.064,2.6590000000000003,2.5892500000000003,0.19075529699941068,2.7260000000000004,0.899,0.90175,0.018661457606521558,0.927
pytest-faulthandler,4.0,1.0005,0.9997499999999999,0.08364757418279783,1.101,2.7119999999999997,2.69425,0.041716303767232454,2.721,0.853,0.87075,0.04835545470781968,0.94
pytest-flake8,4.0,1.0715,1.0662500000000001,0.04775894331606038,1.119,3.0625,3.06475,0.13662936482811197,3.2,0.901,0.9059999999999999,0.027640549922170552,0.941
pytest-flask,1.0,1.104,1.104,,1.104,3.698,3.698,,3.698,0.958,0.958,,0.958
pytest-forked,4.0,1.0394999999999999,1.018,0.06307138812488595,1.067,2.5759999999999996,2.56925,0.0748437260786322,2.653,0.8705,0.8685,0.025748786379167492,0.897
pytest-html,4.0,1.0735,1.061,0.036138621999185314,1.089,2.6635,2.6715,0.1366613820116471,2.8369999999999997,0.8935,0.8697499999999999,0.054725831804246464,0.904
pytest-json,7.0,1.755,1.7060000000000002,0.09196013629104009,1.784,3.176,3.2637142857142853,0.16439050488163265,3.478,0.847,0.8535714285714285,0.04445543514898613,0.94
pytest-metadata,1.0,1.101,1.101,,1.101,2.495,2.495,,2.495,0.925,0.925,,0.925
pytest-mock,4.0,1.0535,1.044,0.042684891940825934,1.085,2.6950000000000003,2.69575,0.04250784241368478,2.741,0.896,0.8859999999999999,0.05836094584565949,0.946
